descrição,Série,período,valor,ano
ENS. MÉDIO 1 SÉRIE: TC GABARITO 1,1º EM,1,"251,65",2025
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 2,1º EM,2,"251,65",2025
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA 2,1º EM,2,"251,65",2025
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 2,1º EM,2,"251,65",2025
ENS. MÉDIO 1 SÉRIE: TC GABARITO 2,1º EM,2,"251,65",2025
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 3,1º EM,3,"251,65",2025
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA 3,1º EM,3,"251,65",2025
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 3,1º EM,3,"251,65",2025
ENS. MÉDIO 1 SÉRIE: TC GABARITO 3,1º EM,3,"251,65",2025
ENS. MÉDIO 1 SÉRIE: EH AGRUPADAS 4,1º EM,4,"251,65",2025
ENS. MÉDIO 1 SÉRIE: TC TAREFA DE CASA ,1º EM,4,"251,65",2025
ENS. MÉDIO 1 SÉRIE: HB AGRUPADAS 4,1º EM,4,"251,65",2025
ENS. MÉDIO 1 SÉRIE: TC GABARITO 4,1º EM,4,"251,65",2025
ENS. MÉDIO 1 SÉRIE: LITERATURA - CONTOS,1º EM,1,"151,72",2025
ENS. MÉDIO 1 SÉRIE: LITERATURA - SONETO,1º EM,2,"151,72",2025
ENS. MÉDIO 1 SÉRIE: LITERATURA - MEMÓRIAS DE UM SARGENTO DE MILÍCIAS,1º EM,3,"151,72",2025
ENS. MÉDIO 1 SÉRIE: LITERATURA - IRACEMA,1º EM,4,"151,72",2025
JOVENS FOR SCHOOL - 1,1º EM,1,200,2025
JOVENS FOR SCHOOL - 2,1º EM,3,200,2025
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 1,2º EM,1,"251,65",2025
ENS. MÉDIO 2a SÉRIE: TC TAREFA DE CASA 1,2º EM,1,"251,65",2025
ENS. MÉDIO 2a SÉRIE: HB AGRUPADAS 1,2º EM,1,"251,65",2025
ENS. MÉDIO 2a SÉRIE: TC GABARITO 1,2º EM,1,"251,65",2025
ENS. MÉDIO 2a SÉRIE: EH AGRUPADAS 2,2º EM,2,"251,65",2025
